CCNA,TSS location,strand,distance_to_nearest_groupA_chip,distance_to_nearest_groupB_chip,distance_to_nearest_groupBOTH_chip,distance_to_nearest_rif_chip,distance_to_nearest_wt_chip,max_txn_change_500bp_position,max_txn_change,WT_value_at_max_change,log2_fc_at_max_change_pos,WT_value_at_max_change_pos,RDep_value_at_max_change_pos
CCNA_00001,122,+,5192,11306,7900,87,5192,161.0,0.3098871576897301,0.31514919744355996,0.9657373241345576,0.31514919744355996,0.62503635513329
CCNA_R0094,182,-,5132,11246,7840,27,5132,161.0,0.3098871576897301,0.31514919744355996,0.9657373241345576,0.31514919744355996,0.62503635513329
CCNA_00005,3190,+,2124,8238,4832,291,2124,3388.0,0.6813765453758001,1.9437480321798002,-0.6187244728470586,1.9437480321798002,1.2623714868040001
CCNA_00006,4003,+,1311,7425,4019,1104,1311,3587.0,0.39107110628599995,1.545355394465,-0.41780089974425944,1.545355394465,1.154284288179
CCNA_00007,4902,+,412,6526,3120,411,412,4992.0,2.827464474783998,16.25145352827,0.23127911198523218,16.25145352827,19.078918003054
CCNA_00007,4908,+,406,6520,3114,405,406,4992.0,2.827464474783998,16.25145352827,0.23127911198523218,16.25145352827,19.078918003054
CCNA_00007,4918,+,396,6510,3104,395,396,4992.0,2.827464474783998,16.25145352827,0.23127911198523218,16.25145352827,19.078918003054
CCNA_R0095,4950,-,364,6478,3072,363,364,4992.0,2.827464474783998,16.25145352827,0.23127911198523218,16.25145352827,19.078918003054
CCNA_00008,5481,+,167,5947,2541,168,167,5615.0,11.998499175010004,29.439995237650002,0.49305229703450265,29.439995237650002,41.438494412660006
CCNA_00008,6320,-,1006,5108,1702,1007,1006,6054.0,3.8799932974328994,3.8492392964658,1.0038740162632758,3.8492392964658,7.7292325938987
CCNA_00009,7858,-,2544,3570,164,244,164,8147.0,6.564241515779,7.144686982925999,0.9392072502225367,7.144686982925999,13.708928498705
CCNA_00010,7974,+,2660,3454,48,128,48,8147.0,6.564241515779,7.144686982925999,0.9392072502225367,7.144686982925999,13.708928498705
CCNA_00010,8019,+,2705,3409,3,83,3,8147.0,6.564241515779,7.144686982925999,0.9392072502225367,7.144686982925999,13.708928498705
CCNA_00010,8848,-,3534,2580,826,746,826,9310.0,5.119505425829999,4.04387637644,1.178151592644825,4.04387637644,9.163381802269999
CCNA_00011,10224,-,4910,1204,2202,2122,1204,9835.0,5.023002099577901,4.497909831472,1.0801556012373394,4.497909831472,9.5209119310499
CCNA_00013,14623,-,9309,29,6601,6521,29,14460.0,0.39536482657009997,0.5293051660527001,0.7933552236304667,0.5293051660527001,0.9246699926228
CCNA_00020,20611,-,15297,142,12589,12509,142,20708.0,3.635141070252999,5.305888317839999,-1.6612080081768992,5.305888317839999,1.670747247587
CCNA_03911,20778,-,15464,25,12756,12676,25,20708.0,3.635141070252999,5.305888317839999,-1.6612080081768992,5.305888317839999,1.670747247587
CCNA_00021,22192,-,16878,1439,12945,12771,1439,22247.0,0.26499606373150003,0.2149531004586,1.1230078155579124,0.2149531004586,0.47994916419010003
CCNA_00023,23739,+,18425,58,11398,11224,58,23380.0,0.5670176553223,0.30708173867870003,1.4793537799295764,0.30708173867870003,0.874099394001
CCNA_00024,24238,-,18924,557,10899,10725,557,24085.0,0.17172000315656,0.40160212712543997,0.5030423706877193,0.40160212712543997,0.573322130282
CCNA_00025,26661,-,21347,2757,8476,8302,2757,26782.0,0.25186879801297,0.14921634566813,1.3684487796393943,0.14921634566813,0.40108514368110004
CCNA_00026,28176,-,22862,1242,6961,6787,1242,28104.0,0.11277841311045,0.12710144779275,0.8659908258607183,0.12710144779275,0.23987986090320002
CCNA_00028,31693,+,26379,1054,3444,3270,1054,31514.0,0.12149604061248997,0.13729739805621,0.8677659758874701,0.13729739805621,0.25879343866869997
CCNA_00028,32708,-,27394,39,2429,2255,39,32909.0,1.66564477665209,1.10652282942711,1.317196584654134,1.10652282942711,2.7721676060792
CCNA_00029,32810,+,27496,63,2327,2153,63,32909.0,1.66564477665209,1.10652282942711,1.317196584654134,1.10652282942711,2.7721676060792
CCNA_00032,34955,-,29641,2208,182,8,182,34461.0,0.8632442417386001,0.3724332034694,1.703650855351292,0.3724332034694,1.2356774452080002
CCNA_03912,35689,-,30375,1609,552,642,552,36147.0,1.2690965919700004,3.68140281955,-0.6077879165545669,3.68140281955,2.41230622758
CCNA_00034,38746,-,33432,1448,794,788,794,38405.0,2.1522135465299996,12.15908619305,-0.280788679483752,12.15908619305,10.00687264652
CCNA_00041,42677,+,37363,160,4725,3033,160,42299.0,0.4891653297730001,1.6266595362490002,-0.5122673687486625,1.6266595362490002,1.137494206476
CCNA_00041,45763,-,40449,3246,6975,53,3246,45929.0,4.170735342019999,16.257227390385,0.32928301784394215,16.257227390385,20.427962732405
CCNA_00041,45774,-,40460,3257,6964,64,3257,45929.0,4.170735342019999,16.257227390385,0.32928301784394215,16.257227390385,20.427962732405
CCNA_00042,45985,-,40671,3468,6753,275,3468,45929.0,4.170735342019999,16.257227390385,0.32928301784394215,16.257227390385,20.427962732405
CCNA_00042,46002,-,40688,3485,6736,292,3485,45929.0,4.170735342019999,16.257227390385,0.32928301784394215,16.257227390385,20.427962732405
CCNA_00043,48284,-,42970,5767,4454,2574,4454,48303.0,0.7265768946310003,1.8670657576470002,-0.7062321737356422,1.8670657576470002,1.140488863016
CCNA_00043,48298,-,42984,5781,4440,2588,4440,48303.0,0.7265768946310003,1.8670657576470002,-0.7062321737356422,1.8670657576470002,1.140488863016
CCNA_00044,48959,-,43645,6442,3779,3249,3779,49264.0,1.4566141665569994,6.3681105611182,-0.3740320684759947,6.3681105611182,4.9114963945612
CCNA_00045,49062,+,43748,6545,3676,3352,3676,49264.0,1.4566141665569994,6.3681105611182,-0.3740320684759947,6.3681105611182,4.9114963945612
CCNA_00046,50069,-,44755,7552,2669,2677,2669,49618.0,0.4258284482221002,1.5056252331033002,-0.4758539242797586,1.5056252331033002,1.0797967848812
CCNA_00048,52186,-,45569,9669,552,560,552,51695.0,1.1381429255880002,2.134168940642,-1.0917509686706537,2.134168940642,0.9960260150539999
CCNA_00051,55334,-,42421,10952,2596,2588,2596,55248.0,0.28117980473329995,0.6438127672468,0.5160773541724717,0.6438127672468,0.9249925719801
CCNA_00054,58011,-,39744,8275,3815,3813,3815,58510.0,0.5061063376989998,3.7469385408,0.1823267277762584,3.7469385408,4.253044878499
CCNA_00060,61763,-,35992,4523,63,61,63,61515.0,2.1290642622073004,0.7362454756807,1.9459951915369156,0.7362454756807,2.8653097378880004
CCNA_00062,63970,+,33785,2316,2144,2146,2144,64395.0,0.16339508873819997,0.3834199378823,0.5011280724368301,0.3834199378823,0.5468150266205
CCNA_00062,63989,-,33766,2297,2163,2165,2163,64395.0,0.16339508873819997,0.3834199378823,0.5011280724368301,0.3834199378823,0.5468150266205
